Operation,DN,Attribute: Value
change,"['objectClassId=0.0.17.1218.127.6.5075,configType=objectClass,config=sdf,', 'optAttrIds', 2]","('0.0.17.1218.127.4.5390', '0.0.17.1218.127.4.5427')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 0]","('2.5.24.5', '1.3.6.1.4.1.4329.1.6.4.444')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 1]","('1.3.6.1.4.1.4329.1.6.4.444', '1.3.6.1.4.1.4329.1.6.4.445')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 2]","('1.3.6.1.4.1.4329.1.6.4.445', '1.3.6.1.4.1.4329.1.6.4.446')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 3]","('1.3.6.1.4.1.4329.1.6.4.446', '1.3.6.1.4.1.4329.1.6.4.447')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 4]","('1.3.6.1.4.1.4329.1.6.4.447', '1.3.6.1.4.1.4329.1.6.4.448')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 5]","('1.3.6.1.4.1.4329.1.6.4.448', '1.3.6.1.4.1.4329.1.6.4.449')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 6]","('1.3.6.1.4.1.4329.1.6.4.449', '1.3.6.1.4.1.4329.1.6.4.450')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 7]","('1.3.6.1.4.1.4329.1.6.4.450', '1.3.6.1.4.1.4329.1.6.4.451')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 8]","('1.3.6.1.4.1.4329.1.6.4.451', '1.3.6.1.4.1.4329.1.6.4.452')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 9]","('1.3.6.1.4.1.4329.1.6.4.452', '1.3.6.1.4.1.4329.1.6.4.453')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 10]","('1.3.6.1.4.1.4329.1.6.4.453', '1.3.6.1.4.1.4329.1.6.4.454')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 11]","('1.3.6.1.4.1.4329.1.6.4.454', '1.3.6.1.4.1.4329.1.6.4.455')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 12]","('1.3.6.1.4.1.4329.1.6.4.455', '1.3.6.1.4.1.4329.1.6.4.456')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 13]","('1.3.6.1.4.1.4329.1.6.4.456', '1.3.6.1.4.1.4329.1.6.4.457')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 14]","('1.3.6.1.4.1.4329.1.6.4.457', '1.3.6.1.4.1.4329.1.6.4.458')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 15]","('1.3.6.1.4.1.4329.1.6.4.458', '1.3.6.1.4.1.4329.1.6.4.459')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 16]","('1.3.6.1.4.1.4329.1.6.4.459', '1.3.6.1.4.1.4329.1.6.4.460')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 17]","('1.3.6.1.4.1.4329.1.6.4.460', '1.3.6.1.4.1.4329.1.6.4.461')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 18]","('1.3.6.1.4.1.4329.1.6.4.461', '1.3.6.1.4.1.4329.1.6.4.462')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 19]","('1.3.6.1.4.1.4329.1.6.4.462', '1.3.6.1.4.1.4329.1.6.4.463')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 20]","('1.3.6.1.4.1.4329.1.6.4.463', '1.3.6.1.4.1.4329.1.6.4.464')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 21]","('1.3.6.1.4.1.4329.1.6.4.464', '1.3.6.1.4.1.4329.1.6.4.465')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 22]","('1.3.6.1.4.1.4329.1.6.4.465', '1.3.6.1.4.1.4329.1.6.4.466')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 23]","('1.3.6.1.4.1.4329.1.6.4.466', '1.3.6.1.4.1.4329.1.6.4.467')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 24]","('1.3.6.1.4.1.4329.1.6.4.467', '1.3.6.1.4.1.4329.1.6.4.468')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 25]","('1.3.6.1.4.1.4329.1.6.4.468', '1.3.6.1.4.1.4329.1.6.4.469')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 26]","('1.3.6.1.4.1.4329.1.6.4.469', '1.3.6.1.4.1.4329.1.6.4.470')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 27]","('1.3.6.1.4.1.4329.1.6.4.470', '1.3.6.1.4.1.4329.1.6.4.471')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 28]","('1.3.6.1.4.1.4329.1.6.4.471', '1.3.6.1.4.1.4329.1.6.4.472')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 29]","('1.3.6.1.4.1.4329.1.6.4.472', '1.3.6.1.4.1.4329.1.6.4.473')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 30]","('1.3.6.1.4.1.4329.1.6.4.473', '1.3.6.1.4.1.4329.1.6.4.474')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 31]","('1.3.6.1.4.1.4329.1.6.4.474', '1.3.6.1.4.1.4329.1.6.4.475')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 32]","('1.3.6.1.4.1.4329.1.6.4.475', '1.3.6.1.4.1.4329.1.6.4.476')"
